Time,x,y,z
0.0,1.319546900644476,-0.5711032877511787,-0.8415569961085176
0.005,-0.5455328849667291,0.8375977317802697,-0.7152077623210714
0.01,0.34578469519665334,-1.8415334090628512,-1.0360478111624192
0.015,0.8924022907186667,1.0643031487653136,-0.623543949713467
0.02,0.9242252697232345,1.2407893928075566,-1.022135303961192
0.025,0.6852474111249893,1.6682448712925635,-0.47037510297192564
0.03,0.060603494156615895,1.4920702291207102,0.5033587228430145
0.035,0.48124472382319816,-1.1859574077940362,-0.6332820620124379
0.04,0.7219681791460812,-1.208914982931579,0.2031807967804294
0.045,0.891020897901256,0.055202594637239866,-0.7627680454743758
0.05,2.3769065068475723,0.8529635114426367,0.5586341599895644
0.055,-0.01023623429878301,-1.644845948176853,-2.3238150913862095
0.06,-0.6026219573222603,-0.008454604193407291,-0.052641550188612524
0.065,0.8348348980202143,-0.9850160169728204,-0.12549597295726972
0.07,-0.26268822022472116,-2.68008670786444,-1.2291372553382356
0.075,0.24144999261362196,0.9519348244783848,0.5009826986323888
0.08,2.1249896645744935,0.34471243138634133,-0.20800778927242775
0.085,-1.1289911804789832,1.4003901078291978,-1.5847531783801014
0.09,-1.0692664628918127,2.3525469537629924,0.08879329470204632
0.095,1.0395295137686993,-0.2540488148210443,1.0760452186486724
0.1,-0.26405777541640674,-0.1945931598151175,-0.5342434840763288
0.105,0.8683073396833597,1.019586184172578,-1.61206394608198
0.11,-0.15528263435496176,-1.3628870656514536,0.6896074007432558
0.115,-1.1068643707520587,1.8119680176581663,-0.27491425872466796
0.12,0.6874767937911962,0.8954410414567022,0.48404106090047777
0.125,-0.5081324375059151,-2.019979979607628,-0.3364784039067811
0.13,1.2667838594839966,-1.0896796844846814,-1.697952144901971
0.135,-0.9865824724060154,-0.4862419688871169,0.6579829940608048
0.14,1.8595354060049796,-0.6024565582216735,-1.4282205927357565
0.145,0.6682286561454375,0.3064563425932841,-1.7615210489179247
0.15,-0.3602247157848357,0.3492202359875848,0.6010887927425156
0.155,1.220286782399796,-0.34710435536160006,0.19727945154838814
0.16,0.2918471899739968,0.7575518183942475,0.45544984392618537
0.165,0.646104296408299,-0.7506515095089257,-0.8708060797569895
0.17,-0.6772117044297201,0.2647022397139608,0.027518394374160496
0.17500000000000002,0.07366066701884494,1.1090403143309264,1.9518072521464163
0.18,0.630892073438945,-0.31335817395532095,-0.25610409748517005
0.185,-1.4161479735097953,-0.14481027743825745,0.509619163984999
0.19,-0.41694884055089204,1.7997360319872648,0.047214048168294796
0.195,-0.3673668048446241,-1.1136426076778192,0.23040272442273174
